QUESTION,BT LEVEL
"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Synthesis
"Analyze a work of art in terms of form, color and texture.",Analysis
Design a scientific study to test the effect of different kinds of music on hens’ egg production.,Synthesis
Rewrite the story from an animal’s point of view.,Synthesis
Develop a proof ... and justify each step ... ,Evaluation
"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",Knowledge
Propose an alternative way to solve …  ,Synthesis
"Design a record, book or magazine cover for...",Synthesis
How would you express ________________?,Comprehension
How would you rank the items given the criteria ?,Evaluation
Analyze the selected information.,Analysis
Design a building to house your study.,Synthesis
Class Facility is an abstract class. Explain what this means,Comprehension
"Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis
"Discriminate the different parts of the story (introduction, development, climax, resolution.)",Analysis
What evidence can you list for...,Analysis
What hypotheses can you develop based on the data ? Why ?,Synthesis
What has the author used to create this effect,Analysis
How does the law of supply and demand explain the current increase in the price of fruit?,Application
Sketch an experiment to see how plants grow in different kinds of soil.,Application
Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Application
State in your own words ...,Comprehension
State in one word ...,Comprehension
Name the authors of...?,Knowledge
Write a program that uses nested loops to print the following output:,Synthesis
Prepare a list of criteria to judge ... Evaluate expressions,Evaluation
Draw a diagram explaining how air pressure affects the weather.,Comprehension
Suggest a way to deal with this scenario,Application
Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120 ,Comprehension
Create several scientific hypotheses to …,Synthesis
Recall the main components of the flowchart,Knowledge
What criteria would you use to assess...? ,Evaluation
Design or sketch a marketing strategy for your product using a known strategy as a model.,Application
Explain what is happening in the first picture of the story.,Comprehension
How would you justify . . . ?,Evaluation
Can you propose an alternative plan to . . . ?,Synthesis
Create an advertising campaign,Synthesis
"Based on the above dataType class, list all the function members",Knowledge
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation
Interpret the graph and state how many trees were cut down to produce paper.,Application
Develop a menu for a new healthy foods restaurant,Synthesis
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluation
Categorize the story into parts and think of a good title for each of the parts.,Analysis
List the __________________ in descending order,Knowledge
Can you explain what is happening . . . what is meant . . .? ,Comprehension
Write an explanation about this topic for others,Application
Name five cities in US.,Knowledge
Can you think of an original way for collect and develop the . . . ?,Synthesis
Judge how well a project meets the criteria of a rubric.,Evaluation
How would you classify the type of ...?,Comprehension
List important information you can remember from lesson….,Knowledge
