QUESTION,BT LEVEL,BT LEVEL (REVISED)
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",Comprehension,Understand
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs. ",Comprehension,Understand
Define profit. Briefly explain how accounting profit is different from economic profit.,Comprehension,Understand
Describe the assumptions of monopolistic competitive market.,Comprehension,Understand
"Explain the meaning of the law of diminishing marginal returns. Briefly describe the relationship between total product (TP) and marginal product (MP), marginal product (MP) and average product (AP).",Comprehension,Understand
Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,Evaluation,Evaluate
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",Application,Apply
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluation,Evaluate
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,Comprehension,Understand
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,Comprehension,Understand
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,Application,Apply
Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,Application,Apply
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,Comprehension,Understand
Describe Prisoner Dilemma in the context of game theory.,Knowledge,Remember
Highlight the differences between an equilibrium in dominant strategy as compared to Nash equilibrium.,Comprehension,Understand
State which market structure adopts this practice. List and briefly explain what are the conditions needed for this practice to be successful.,Comprehension,Understand
Explain types of price discriminations.,Comprehension,Understand
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Comprehension,Understand
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",Comprehension,Understand
Briefly explain the characteristics of monopolistic market structure.,Comprehension,Understand
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",Comprehension,Understand
Explain the marginal cost relationship with average variable cost (AVC) and average total cost (ATC). Support your answer by using an appropriate diagram. ,Comprehension,Understand
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",Application,Apply
"Starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram(s). ",Comprehension,Understand
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,Comprehension,Understand
Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,Comprehension,Understand
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",Analysis,Analyze
Determine the equilibrium price and quantity.,Application,Apply
Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,Application,Apply
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",Application,Apply
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,Comprehension,Understand
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluation,Evaluate
Describe the TWO (2) key differences between perfect competition and monopolistic competition. ,Comprehension,Understand
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,Application,Apply
"“As additional units of a variable input are added to a fixed input, the marginal product of the variable input may at the beginning rises, subsequently falls and becomes negative in the short-run"". Explain this statement by using appropriate diagrams. ",Comprehension,Understand
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",Evaluation,Evaluate
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",Comprehension,Understand
Explain the price discriminations that associated with monopoly.,Comprehension,Understand
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",Analysis,Analyze
Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost. ,Analysis,Analyze
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,Comprehension,Understand
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Comprehension,Understand
Compute the value of the government multiplier and tax multiplier in an open economy. ,Application,Apply
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",Application,Apply
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,Analysis,Analyze
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,Application,Apply
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,Comprehension,Understand
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",Application,Apply
Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,Analysis,Analyze
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,Comprehension,Understand
Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money. ,Analysis,Analyze
Calculate the equilibrium level of income for Cambodia. ,Application,Apply
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,Application,Apply
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,Application,Apply
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,Application,Apply
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram. ,Comprehension,Understand
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,Comprehension,Understand
"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",Synthesis,Create
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,Comprehension,Understand
List and explain the reason why the aggregate demand curve is downward slopping.,Comprehension,Understand
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Synthesis,Create
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analysis,Analyze
Describe price feedback effect by using relevant example.,Comprehension,Understand
